,,,
"--set use_local_cache = false
-- TPC-DS_query 31
SELECT
    `tpc_ds_benchmark_model`.`Sold Calendar Quarter`     AS `sold_calendar_quarter`,
    `tpc_ds_benchmark_model`.`Sold d_ca_county`          AS `sold_d_ca_county`,
    SUM(`tpc_ds_benchmark_model`.`Store Sales Increase`) AS `sum_store_sales_increase_ok`,
    SUM(`tpc_ds_benchmark_model`.`Web Sales Increase`)   AS `sum_web_sales_increase_ok`
FROM
    `tpc-ds benchmark model - bigquery`.`tpc-ds benchmark model` `tpc_ds_benchmark_model`
WHERE
    `tpc_ds_benchmark_model`.`Sold Calendar Year` = 2001
GROUP BY
    1,
    2",,,
,,,
sold_calendar_quarter,sold_d_ca_county,sum_store_sales_increase_ok,sum_web_sales_increase_ok
2001Q1,Fairfield County,0.332879242,0.327412055
2001Q1,Gosper County,0.330510934,0.336089162
2001Q1,Apache County,0.347281679,0.332371829
2001Q1,Washtenaw County,0.336818249,0.343623414
2001Q1,Culpeper County,0.335723039,0.329684588
2001Q1,Shoshone County,0.331608769,0.341192208
2001Q1,Box Butte County,0.332064845,0.322900882
2001Q1,Sacramento County,0.335341656,0.325089733
2001Q1,Tripp County,0.322330292,0.333061365
2001Q1,Briscoe County,0.340649692,0.334954283
2001Q1,Coahoma County,0.335911585,0.327360238
2001Q1,Hampshire County,0.333023022,0.333844238
2001Q1,Suffolk city,0.329109531,0.327527599
2001Q1,Poquoson city,0.326675738,0.320578078
2001Q1,Grafton County,0.328418341,0.332821988
2001Q1,Bates County,0.330796646,0.330705894
2001Q1,Rappahannock County,0.329512205,0.319533047
2001Q1,Trego County,0.336839205,0.335626718
2001Q1,Kerr County,0.333785009,0.339135527
2001Q1,Milwaukee County,0.324425212,0.329890397
2001Q1,Bollinger County,0.333632374,0.33313713
2001Q1,Cayuga County,0.329154046,0.330006075
2001Q1,DeWitt County,0.325675239,0.320850752
2001Q1,Avoyelles Parish,0.339604399,0.320311966
2001Q1,West Baton Rouge Parish,0.327382154,0.329503608
2001Q1,Nash County,0.325647972,0.326708728
2001Q1,Georgetown County,0.329011865,0.32647335
2001Q1,Maury County,0.336168363,0.323861286
2001Q1,Barren County,0.316675691,0.337709532
2001Q1,Huntingdon County,0.340448528,0.333765024
2001Q1,Allamakee County,0.335491724,0.328848477
2001Q1,Pittsburg County,0.329320821,0.337159295
2001Q1,Collin County,0.330672842,0.327473208
2001Q1,Madera County,0.336921721,0.343383602
2001Q1,Clark County,0.329773205,0.330449767
2001Q1,Clear Creek County,0.325390074,0.339283063
2001Q1,Calumet County,0.330918778,0.32774115
2001Q1,Custer County,0.330514372,0.335243772
2001Q1,Pasquotank County,0.329320366,0.328864436
2001Q1,Copiah County,0.324779695,0.328464695
2001Q1,Burleigh County,0.339652734,0.341833998
2001Q1,Kingsbury County,0.334217475,0.323511419
2001Q1,Juab County,0.331059935,0.32906538
2001Q1,Simpson County,0.329282886,0.326784023
2001Q1,Moore County,0.332226903,0.335345599
2001Q1,Pontotoc County,0.338511516,0.325098091
2001Q1,Geneva County,0.328878352,0.328054499
2001Q1,Anne Arundel County,0.329374046,0.327981088
2001Q1,Zapata County,0.329467611,0.328486832
2001Q1,Dallas County,0.335783614,0.326446529
2001Q1,Okmulgee County,0.340872737,0.340806742
2001Q1,Ransom County,0.338446311,0.324962882
2001Q1,Hancock County,0.331723216,0.33096438
2001Q1,Comal County,0.330211684,0.328240858
2001Q1,Reeves County,0.336878163,0.33019392
2001Q1,Slope County,0.318155953,0.329477459
2001Q1,Banks County,0.325785127,0.325837446
2001Q1,Wallowa County,0.329563471,0.342385789
2001Q1,Woodbury County,0.329103558,0.330541803
2001Q1,Rabun County,0.341001535,0.337064244
2001Q1,Kane County,0.33122215,0.333029377
2001Q1,Rockland County,0.33597454,0.335688902
2001Q1,Queens County,0.315423953,0.328570947
2001Q1,Faribault County,0.32794653,0.329189929
2001Q1,Jefferson Parish,0.333859936,0.336259984
2001Q1,Tom Green County,0.321414076,0.330158687
2001Q1,Jenkins County,0.32962651,0.332705884
2001Q1,Hinsdale County,0.326547173,0.321918687
2001Q1,Dauphin County,0.327084982,0.340554375
2001Q1,Catron County,0.336229827,0.324740429
2001Q1,Henrico County,0.332350982,0.336849265
2001Q1,Amite County,0.325423226,0.329796216
2001Q1,Wright County,0.332584104,0.334303752
2001Q1,Lonoke County,0.34345388,0.335477153
2001Q1,Rio Arriba County,0.335313926,0.329598423
2001Q1,Howell County,0.332233769,0.333303111
2001Q1,Mifflin County,0.336261988,0.331794752
2001Q1,Denton County,0.325419738,0.325336498
