,,,,,,
"SELECT
    `TPC-DS Benchmark Model`.`d_customer_last_name`          AS `d_customer_last_name`,
    `TPC-DS Benchmark Model`.`d_customer_first_name`         AS `d_customer_first_name`,
    `TPC-DS Benchmark Model`.`d_customer_city`               AS `d_customer_city`,
    `TPC-DS Benchmark Model`.`Sold d_customer_city`          AS `sold_d_customer_city`,
    `TPC-DS Benchmark Model`.`d_store_sales_ticket_number`   AS `d_store_sales_ticket_number`,
    SUM(`TPC-DS Benchmark Model`.`m_ss_net_profit_sum`)      AS `sum_m_ss_net_profit_sum_ok`,
    SUM( `TPC-DS Benchmark Model`.`m_store_coupon_amt_sum` ) AS `sum_m_store_coupon_amt_sum_ok`
FROM
    `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
    (
        `TPC-DS Benchmark Model`.`d_hd_dep_count` = 4
    OR  `TPC-DS Benchmark Model`.`d_hd_vehicle_count` = 3 )
AND `TPC-DS Benchmark Model`.`Sold d_customer_city` <> `TPC-DS Benchmark Model`.`d_customer_city`
AND `TPC-DS Benchmark Model`.`d_customer_first_name` IS NOT NULL
AND `TPC-DS Benchmark Model`.`d_customer_last_name` IS NOT NULL
AND `TPC-DS Benchmark Model`.`Sold Calendar Year` IN (1999,
                                                      2000,
                                                      2001)
AND `TPC-DS Benchmark Model`.`Sold d_day_of_week` IN (0,
                                                      6)
AND `TPC-DS Benchmark Model`.`d_store_city` IN ( 'Oakdale',
                                                'Pleasant Grove',
                                                'Rockville',
                                                'Springfield',
                                                'Woodland' )
GROUP BY
    1,
    2,
    3,
    4,
    5    
ORDER BY
    1,
    2,
    3,
    4,
    5 
    LIMIT 100",,,,,,
,,,,,,
d_customer_last_name,d_customer_first_name,d_customer_city,sold_d_customer_city,d_store_sales_ticket_number,sum_m_ss_net_profit_sum_ok,sum_m_store_coupon_amt_sum_ok
Aaron,Adam,Crossroads,Kingston,911848673,-4624.69,93.81
Aaron,Adam,White Oak,Glenwood,274050168,-1156.92,0
Aaron,Alta,Five Forks,Greenville,1864034141,-18927.33,2218.2
Aaron,Amelia,White Oak,Hillcrest,692983228,-17753.79,520.78
Aaron,Angel,Mount Olive,Oakwood,176361805,-1990.92,423.2
Aaron,Angela,Enterprise,Wilson,1944828380,-6260.13,0
Aaron,Angie,Greenwood,Lebanon,975658062,-10814.02,6182.67
Aaron,Anna,Maple Grove,Buena Vista,157115053,-13949.36,197.79
Aaron,Anthony,Greenfield,Sunnyside,261699933,-8545.03,45.14
