,,,,,,,,,,Returns Time Tier,,,,,,,,,
Store Name,Store Company ID,Store Street Number,Store Street Name,Store Street Type,Store Suite Number,Store City,Store County,Store State,Store Zip Code,31-60 days,61-90 days,91-120 days,<= 30 days,> 120 days,,,,,
,,,,Pkwy,Suite V,,,NJ,09875,6967,4472,4142,8738,9312,,,,,
,,,Fourth ,,,Union,Lunenburg County,,28721,6733,4507,3981,8623,9695,,,,,
,,,Valley Valley,,Suite S,,,,71387,6745,3995,4325,8649,9666,,,,,
,1,,,,Suite 310,Newtown,,TN,31749,6811,4034,4147,8785,9548,,,,,
,,,Chestnut Elm,Drive,Suite 350,Mill Creek,,,47395,6835,4333,4515,9145,9791,,,,,
,,,Fourth Main,Circle,Suite 180,Hopewell,Perry County,,60587,6807,4255,4435,9165,9346,,,,,
able,,941,,Avenue,Suite 210,,Henry County,,,6764,4229,4474,8868,9754,,,,,
,1,17,Main ,Ct.,Suite K,Woodland,Baltimore County,MD,24854,6712,4170,4654,8826,9372,,,,,
,,20,Main ,Boulevard,Suite 140,Highland Park,Dauphin County,PA,16534,6585,4091,4240,8937,9723,,,,,
,,31,1st ,RD,Suite 270,White Oak,Daviess County,MO,66668,6808,3876,4068,8751,9232,,,,,
,,49,Highland 1st,Drive,Suite 80,Harrisburg,Somerset County,MD,20974,6490,4192,4162,8777,8867,,,,,
,,54,12th ,Cir.,Suite B,White Oak,Brazos County,TX,76668,6575,4119,4125,8844,9069,,,,,
,,62,15th ,Wy,Suite 50,Marion,Adams County,IN,40399,6801,4187,4477,8809,9240,,,,,
,,91,1st ,Boulevard,Suite B,Liberty,Warren County,IN,43451,6663,4249,4435,9135,9132,,,,,
,,,Fifth ,Court,Suite 180,Jefferson,Walker County,AL,31795,7027,4456,4399,8891,9584,,,,,
,,113,South ,Parkway,Suite 200,Pine Hill,Contra Costa County,CA,99236,7047,4233,4061,9254,9200,33795,33077,,8986,268
,,115,Hickory ,Circle,Suite N,Clifton,Mobile County,AL,38014,6738,4422,4421,8640,9286,,,,7174,-127
,,128,15th ,RD,Suite T,Winchester,Nuckolls County,NE,63252,6180,4231,4349,9177,8962,,,,4270,-37
,,,Church East,ST,Suite U,Oak Hill,Contra Costa County,CA,97838,6605,4477,4422,8491,8920,,,,4111,-50
,,140,6th ,Avenue,Suite 120,Buffalo,Quay County,NM,87098,6706,4328,4202,8516,9238,,,,8536,664
,,148,River 2nd,Road,Suite 10,Pine Hill,Lea County,NM,89236,6825,4248,4566,8423,9332,,,,,718
,,170,Mill ,Circle,Suite J,Cross Roads,Klamath County,OR,96894,7012,4478,4392,8995,9144,,,,,
,,184,Main Elm,Ct.,Suite 90,Clinton,Richland County,OH,48222,6468,4161,4415,8650,9471,,,,,
,,193,5th ,Ave,Suite 420,Winchester,Quay County,NM,83252,6518,4204,4311,8455,9300,,,,,
,,194,Williams 6th,Way,Suite D,Needmore,Essex County,VT,09720,6799,4458,4635,8762,9410,,,,,
,,197,Central Second,Cir.,Suite H,Farmington,Barrow County,GA,39145,6744,3855,4137,8551,8767,,,,,
,,206,Main ,Pkwy,Suite I,Antioch,Salem County,NJ,09205,6800,4348,4360,9355,9307,,,,,
,,227,8th ,Road,Suite 290,Hollywood,Salem County,NJ,08601,6816,4249,4221,9040,9367,,,,,
,,228,Cherry ,Avenue,Suite G,Mill Creek,Camden County,GA,37395,6691,4192,4142,8534,9451,,,,,
,,244,Maple Lakeview,Way,Suite 430,Smyrna,Carter County,OK,78119,7014,4309,4695,9030,9297,,,,,
,,253,Pine Central,ST,Suite O,Needmore,Lunenburg County,VA,29120,6527,4321,4153,8935,8942,,,,,
,,255,Sycamore ,Dr.,Suite 410,Corinth,Quay County,NM,87022,6906,4361,4464,8804,9441,,,,,
,,259,11th Railroad,Street,Suite 160,Highland,Red River Parish,LA,79454,6629,4205,4501,8837,9455,,,,,
,,292,Walnut North,Circle,Suite Q,Lebanon,Abbeville County,SC,22898,7091,4271,4234,9108,10220,,,,,
,,293,7th Hill,Ave,Suite W,Unionville,Van Buren County,MI,41711,6718,4274,4412,8840,8739,,,,,
