,,,
"SELECT
  `TPC-DS Benchmark Model`.`Sold Calendar Year-Week` AS `sold_calendar_year_week`,
  `TPC-DS Benchmark Model`.`d_product_brand_id` AS `d_product_brand_id`,
  `TPC-DS Benchmark Model`.`d_product_brand_name` AS `d_product_brand_name`,
  SUM(
    `TPC-DS Benchmark Model`.`m_ss_ext_sales_price_sum`
  ) AS `sum_m_ss_ext_sales_price_sum_ok`
FROM
  `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
  (
    (
      `TPC-DS Benchmark Model`.`Sold Calendar Year-Week` = 2002
    )
    AND (
      `TPC-DS Benchmark Model`.`Sold d_month_of_year` = 12
    )
    AND (
      `TPC-DS Benchmark Model`.`d_product_manager_id` = 1
    )
  )
GROUP BY
  1,
  2,
  3
ORDER BY
  1,
  4 DESC,
  2",,,
,,,
sold_calendar_year_week,d_product_brand_id,d_product_brand_name,sum_m_ss_ext_sales_price_sum_ok
2002,3002002,importoexporti #2,546278075.2
2002,1004002,edu packamalg #2,474859057
2002,1001002,amalgamalg #2,470548214.6
2002,2001002,amalgimporto #2,462146195.6
2002,2003002,exportiimporto #2,444106437.3
2002,4004002,edu packedu pack #2,434244485.9
2002,3001002,amalgexporti #2,427848531.1
2002,3003002,exportiexporti #2,425378200
2002,5003002,exportischolar #2,416910681.7
2002,2004002,edu packimporto #2,412626342.7
2002,5001002,amalgscholar #2,397308381.4
2002,3004002,edu packexporti #2,388900140
2002,1002002,importoamalg #2,378239975.2
2002,1003002,exportiamalg #2,378144422
2002,4003002,exportiedu pack #2,356670514.5
2002,4002002,importoedu pack #2,356183236.7
2002,4001002,amalgedu pack #2,347986507
2002,5002002,importoscholar #2,343323404.7
2002,2002002,importoimporto #2,261369411
2002,5004002,edu packscholar #2,258695836
2002,1002001,importoamalg #1,225171835
2002,1004001,edu packamalg #1,184813468.6
2002,3001001,amalgexporti #1,179772998.6
2002,2004001,edu packimporto #1,175694190.6
2002,3003001,exportiexporti #1,170979372.1
2002,2003001,exportiimporto #1,164656253.1
2002,1003001,exportiamalg #1,163787147.5
2002,4002001,importoedu pack #1,157839439.9
2002,4003001,exportiedu pack #1,144550629.5
2002,5004001,edu packscholar #1,140224436.3
2002,2002001,importoimporto #1,131407670.3
2002,5002001,importoscholar #1,128495060.8
2002,5003001,exportischolar #1,127655925.8
2002,4004001,edu packedu pack #1,121305174.2
2002,3004001,edu packexporti #1,121194254
2002,5001001,amalgscholar #1,121151965.7
2002,3002001,importoexporti #1,120446702.7
2002,2001001,amalgimporto #1,114819403.4
2002,4001001,amalgedu pack #1,111431000.1
2002,1001001,amalgamalg #1,76392092.56
2002,9007008,brandmaxi #8,67078330.22
2002,9009002,maximaxi #2,61831033.86
2002,9014008,edu packunivamalg #8,61796335.65
2002,7006006,corpbrand #6,60406295.4
2002,9007002,brandmaxi #2,60296487.92
2002,9004008,edu packmaxi #8,60161557.72
2002,9002002,importomaxi #2,59543073.71
2002,7010008,univnameless #8,53359131.92
2002,9009004,maximaxi #4,52891082.3
2002,6014002,edu packbrand #2,52321805.99
2002,7007004,brandbrand #4,52246230.9
2002,6002006,importocorp #6,51957977.36
2002,7013002,exportinameless #2,51282319.4
2002,9015002,scholarunivamalg #2,50774479.81
2002,8009010,maxinameless #10,50677060.6
2002,9001001,amalgmaxi #1,50676456.91
2002,9003008,exportimaxi #8,50490552.63
2002,8007010,brandnameless #10,50477153.37
2002,9011008,amalgunivamalg #8,50005533.86
2002,6012002,importobrand #2,45440726.44
2002,8003010,exportinameless #10,44437662.57
2002,9008002,namelessmaxi #2,44174679.63
2002,6008002,namelesscorp #2,44005150.59
2002,7010010,univnameless #10,43839875.38
2002,7004004,edu packbrand #4,43623688.1
2002,9010002,univunivamalg #2,43605836.75
2002,8004005,edu packnameless #5,43328116.43
2002,9016001,corpunivamalg #1,43183693.1
2002,6015008,scholarbrand #8,42956260.73
2002,9008008,namelessmaxi #8,42616616.74
2002,6004002,edu packcorp #2,42475143.28
2002,8016006,corpmaxi #6,42415978.38
2002,7015002,scholarnameless #2,42241109.35
2002,6004004,edu packcorp #4,42073322.63
2002,6010004,univbrand #4,42071284.86
2002,7002010,importobrand #10,41652178.18
2002,6011004,amalgbrand #4,35870832.04
2002,6013002,exportibrand #2,35830420.43
2002,10001014,amalgunivamalg #14,35787072.09
2002,7007010,brandbrand #10,35724003.1
2002,9011002,amalgunivamalg #2,35582438.61
2002,6013006,exportibrand #6,35520169.79
2002,9001008,amalgmaxi #8,35516199.29
2002,7010004,univnameless #4,35290179.01
2002,6003008,exporticorp #8,35269838.73
2002,6012005,importobrand #5,34959941.34
2002,6006004,corpcorp #4,34946107
2002,7011008,amalgnameless #8,34924905.51
2002,8007002,brandnameless #2,34816478.86
2002,9013002,exportiunivamalg #2,34803904.31
2002,8006010,corpnameless #10,34652364.53
2002,7009010,maxibrand #10,34632487.34
2002,6005006,scholarcorp #6,34590904.91
2002,6001004,amalgcorp #4,34583275.68
2002,10015017,scholaramalgamalg #17,34534328.11
2002,6005004,scholarcorp #4,34479167.35
2002,9002008,importomaxi #8,34426061.35
2002,8010008,univmaxi #8,34384111.78
2002,6003004,exporticorp #4,34369631.54
2002,9013008,exportiunivamalg #8,34331651.94
2002,9016008,corpunivamalg #8,34306771.91
2002,7008004,namelessbrand #4,34254992.93
2002,6015006,scholarbrand #6,34205471.22
2002,6007006,brandcorp #6,34205185.91
2002,7012010,importonameless #10,34083652.91
2002,9006004,corpmaxi #4,33974988.72
2002,8014010,edu packmaxi #10,33949419.86
2002,6006002,corpcorp #2,33932319.13
2002,7010006,univnameless #6,33926606.73
2002,7014006,edu packnameless #6,33925266.3
2002,7004009,edu packbrand #9,33784704.78
2002,8005006,scholarnameless #6,33690348.42
2002,6010002,univbrand #2,33555944.98
2002,10003004,exportiunivamalg #4,33511212.91
2002,9005008,scholarmaxi #8,33507294.61
2002,9004002,edu packmaxi #2,33505213.51
2002,6014004,edu packbrand #4,33487973.22
2002,9006002,corpmaxi #2,33457757.53
2002,7004008,edu packbrand #8,33344139.24
2002,8012004,importomaxi #4,33269086.73
2002,6014006,edu packbrand #6,32845012.74
2002,6010008,univbrand #8,27346260.11
2002,10010011,univamalgamalg #11,27189721.02
2002,7005002,scholarbrand #2,27014145.95
2002,10002014,importounivamalg #14,26978009.42
2002,9016002,corpunivamalg #2,26966950.34
2002,6009008,maxicorp #8,26857368.14
2002,9013001,exportiunivamalg #1,26802316.59
2002,8015006,scholarmaxi #6,26758307.87
2002,10015003,scholaramalgamalg #3,26746945.46
2002,7013010,exportinameless #10,26691188.18
2002,7001007,amalgbrand #7,26671548.76
2002,9012008,importounivamalg #8,26629081.35
2002,8004007,edu packnameless #7,26620082.06
2002,10016013,corpamalgamalg #13,26472108.22
2002,10011017,amalgamalgamalg #17,26448889.73
2002,8008002,namelessnameless #2,26430460.59
2002,5002001,exportiexporti #2,26422948.91
2002,9005002,scholarmaxi #2,26419703.58
2002,8011005,amalgmaxi #5,26405892.57
2002,6003002,exporticorp #2,26392496.24
2002,9004001,edu packmaxi #1,26373976.74
2002,10009005,maxiunivamalg #5,26339637.99
2002,10015001,scholaramalgamalg #1,26335897.9
2002,9012004,importounivamalg #4,26303511.56
2002,9011010,amalgunivamalg #10,26299459.06
2002,9014002,edu packunivamalg #2,26286718.57
2002,8012006,importomaxi #6,26214049.78
2002,8003001,exportinameless #1,26159117.12
2002,10016003,corpamalgamalg #3,26152794.22
2002,8005004,scholarnameless #4,26144278.17
2002,7001002,amalgbrand #2,26134400.58
2002,7006002,corpbrand #2,26132956.24
2002,9014004,edu packunivamalg #4,26103751.13
2002,7003006,exportibrand #6,26094348.51
2002,9006008,corpmaxi #8,26072576.53
2002,10003002,exportiunivamalg #2,25983930.18
2002,8001004,amalgnameless #4,25979390.66
2002,9008004,namelessmaxi #4,25963200.59
2002,6015002,scholarbrand #2,25948200.01
2002,8015004,scholarmaxi #4,25939404.05
2002,8005002,scholarnameless #2,25931088.94
2002,10005010,scholarunivamalg #10,25918931.63
2002,6002004,importocorp #4,25917387.73
2002,6007002,brandcorp #2,25917013.15
2002,7003004,exportibrand #4,25903994.24
2002,10015013,scholaramalgamalg #13,25888018.69
2002,10005005,scholarunivamalg #5,25882883.39
2002,6004006,edu packcorp #6,25870271.8
2002,6011008,amalgbrand #8,25849589.99
2002,7016002,corpnameless #2,25829087.86
2002,8007006,brandnameless #6,25810699.4
2002,8002006,importonameless #6,25787015.55
2002,8006008,corpnameless #8,25784606.94
2002,9003001,exportimaxi #1,25739041.75
