,,,,
"SELECT
  `TPC-DS Benchmark Model`.`d_product_manufacturer_id` AS `d_product_manufacturer_id`,
  `TPC-DS Benchmark Model`.`Sold Calendar Quarter` AS `sold_calendar_quarter`,
  SUM(`TPC-DS Benchmark Model`.`m_store_sales_price`) AS `sum_m_store_sales_price_ok`,
  SUM(
    `TPC-DS Benchmark Model`.`Avg Quarterly Store Sales for 1998-1999`
  ) AS `sum_avg_quarterly_store_sales_for_1998_1999_ok`,
  SUM(
    `TPC-DS Benchmark Model`.`Avg Quarter Sales Ratio`
  ) AS `sum_avg_quarter_sales_ratio_ok`
FROM
  `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
    `TPC-DS Benchmark Model`.`Sold Calendar Quarter` IN ('1998Q2', '1998Q3', '1998Q4', '1999Q1', '1999Q2') AND
    ((
        `TPC-DS Benchmark Model`.`I Category` IN ('Books',
                                                  'Children',
                                                  'Electronics')
    AND `TPC-DS Benchmark Model`.`d_product_brand_name` IN ( 'exportiunivamalg #9',
                                                            'scholaramalgamalg #14',
                                                            'scholaramalgamalg #7',
                                                            'scholaramalgamalg #9' )
    AND `TPC-DS Benchmark Model`.`d_product_class_name` IN ('personal',
                                                            'portable',
                                                            'reference',
                                                            'self-help') )
OR  (
        `TPC-DS Benchmark Model`.`I Category` IN ('Women',
                                                  'Music',
                                                  'Men')
    AND `TPC-DS Benchmark Model`.`d_product_brand_name` IN ( 'amalgimporto #1',
                                                            'edu packscholar #1',
                                                            'exportiimporto #1',
                                                            'importoamalg #1' )
    AND `TPC-DS Benchmark Model`.`d_product_class_name` IN ('accessories',
                                                            'classical',
                                                            'fragrances',
                                                            'pants') ) )
GROUP BY
    1,
    2
HAVING `sum_avg_quarter_sales_ratio_ok` > .1
ORDER BY
    1,
    2,
    3",,,,
,,,,
d_product_manufacturer_id,sold_calendar_quarter,sum_m_store_sales_price_ok,sum_avg_quarterly_store_sales_for_1998_1999_ok,sum_avg_quarter_sales_ratio_ok
(null),1998Q2,417852.32,(null),#DIV/0!
(null),1998Q3,844963.87,(null),#DIV/0!
(null),1998Q4,1328422.1,(null),#DIV/0!
(null),1999Q1,452021.27,(null),#DIV/0!
(null),1999Q2,449141.6,(null),#DIV/0!
1,1998Q2,4844146.4,7601189.964,0.362712
1,1998Q3,8818336.33,7601189.964,0.160126
1,1998Q4,14495302.86,7601189.964,0.906978
1,1999Q1,5019144.95,7601189.964,0.33969
1,1999Q2,4829019.28,7601189.964,0.364702
2,1998Q2,4110827.68,6454738.132,0.36313
2,1998Q3,7526956.75,6454738.132,0.166113
2,1998Q4,12347667.27,6454738.132,0.912962
2,1999Q1,4227158.35,6454738.132,0.345108
2,1999Q2,4061080.61,6454738.132,0.370837
3,1998Q2,4787458.81,7647236.668,0.373962
3,1998Q3,8953244.58,7647236.668,0.170782
3,1998Q4,14591777.02,7647236.668,0.908111
3,1999Q1,5063518.14,7647236.668,0.337863
3,1999Q2,4840184.79,7647236.668,0.367067
4,1998Q2,4244181.1,6739589.88,0.370261
4,1998Q3,7866508.21,6739589.88,0.167209
4,1998Q4,12894072.01,6739589.88,0.913183
4,1999Q1,4441309.9,6739589.88,0.341012
4,1999Q2,4251878.18,6739589.88,0.369119
5,1998Q2,2575369.06,4163988.02,0.381514
5,1998Q3,4878137.76,4163988.02,0.171506
5,1998Q4,7977668.26,4163988.02,0.915872
5,1999Q1,2761848.88,4163988.02,0.33673
5,1999Q2,2626916.14,4163988.02,0.369135
6,1998Q2,2926234.37,4618167.808,0.366365
6,1998Q3,5369701.4,4618167.808,0.162734
6,1998Q4,8831902.64,4618167.808,0.912426
6,1999Q1,3080506.83,4618167.808,0.332959
6,1999Q2,2882493.8,4618167.808,0.375836
7,1998Q2,3883171.58,6236842.878,0.377382
7,1998Q3,7406292.1,6236842.878,0.187507
7,1998Q4,11873981.96,6236842.878,0.903845
7,1999Q1,4111384.3,6236842.878,0.340791
7,1999Q2,3909384.45,6236842.878,0.373179
8,1998Q2,4061246.56,6468537.442,0.372154
8,1998Q3,7564023.27,6468537.442,0.169356
8,1998Q4,12351401.1,6468537.442,0.909458
8,1999Q1,4291945.5,6468537.442,0.336489
8,1999Q2,4074070.78,6468537.442,0.370171
9,1998Q2,2760926.53,4427231.974,0.376376
9,1998Q3,5227243.84,4427231.974,0.180702
9,1998Q4,8384634.02,4427231.974,0.893877
9,1999Q1,2979760.41,4427231.974,0.326947
9,1999Q2,2783595.07,4427231.974,0.371256
10,1998Q2,4075401.19,6500668.538,0.37308
10,1998Q3,7555874.24,6500668.538,0.162323
10,1998Q4,12381206.95,6500668.538,0.904605
10,1999Q1,4326733.5,6500668.538,0.334417
10,1999Q2,4164126.81,6500668.538,0.359431
11,1998Q2,2374922.24,3689246.774,0.356258
11,1998Q3,4264630.4,3689246.774,0.155962
11,1998Q4,7056529.04,3689246.774,0.912729
11,1999Q1,2425101.13,3689246.774,0.342657
11,1999Q2,2325051.06,3689246.774,0.369776
12,1998Q2,3334575.13,5319815.328,0.373178
12,1998Q3,6214034.95,5319815.328,0.168092
12,1998Q4,10172046.43,5319815.328,0.912105
12,1999Q1,3520665.59,5319815.328,0.338198
12,1999Q2,3357754.54,5319815.328,0.368821
13,1998Q2,3968294.33,6282054.468,0.368313
13,1998Q3,7301874.26,6282054.468,0.162339
13,1998Q4,12061052.93,6282054.468,0.919922
13,1999Q1,4102119.95,6282054.468,0.34701
13,1999Q2,3976930.87,6282054.468,0.366938
14,1998Q2,4469855.16,7184619.742,0.377858
14,1998Q3,8395275.89,7184619.742,0.168507
14,1998Q4,13709687.97,7184619.742,0.9082
14,1999Q1,4822780.86,7184619.742,0.328735
14,1999Q2,4525498.83,7184619.742,0.370113
15,1998Q2,3933454.84,6247300.62,0.370375
15,1998Q3,7259857.96,6247300.62,0.162079
15,1998Q4,11928829.47,6247300.62,0.909437
15,1999Q1,4158631.38,6247300.62,0.334331
15,1999Q2,3955729.45,6247300.62,0.36681
16,1998Q2,2503758.77,3936676.786,0.363992
16,1998Q3,4599890.02,3936676.786,0.16847
16,1998Q4,7510449.12,3936676.786,0.907815
16,1999Q1,2616083.93,3936676.786,0.335459
16,1999Q2,2453202.09,3936676.786,0.376834
17,1998Q2,2930277.8,4642444.762,0.368807
17,1998Q3,5448414.91,4642444.762,0.173609
17,1998Q4,8812449.57,4642444.762,0.898235
17,1999Q1,3098662.29,4642444.762,0.332537
17,1999Q2,2922419.24,4642444.762,0.3705
18,1998Q2,4123468.92,6490092.156,0.364652
18,1998Q3,7570350.17,6490092.156,0.166447
18,1998Q4,12373238.16,6490092.156,0.906481
18,1999Q1,4313563.59,6490092.156,0.335362
