W_WAREHOUSE_NAME,W_WAREHOUSE_SQ_FT,W_CITY,W_COUNTY,W_STATE,W_COUNTRY,SHIP_CARRIERS,YEAR,JAN_SALES,FEB_SALES,MAR_SALES,APR_SALES,MAY_SALES,JUN_SALES,JUL_SALES,AUG_SALES,SEP_SALES,OCT_SALES,NOV_SALES,DEC_SALES,JAN_SALES_PER_SQ_FOOT,FEB_SALES_PER_SQ_FOOT,MAR_SALES_PER_SQ_FOOT,APR_SALES_PER_SQ_FOOT,MAY_SALES_PER_SQ_FOOT,JUN_SALES_PER_SQ_FOOT,JUL_SALES_PER_SQ_FOOT,AUG_SALES_PER_SQ_FOOT,SEP_SALES_PER_SQ_FOOT,OCT_SALES_PER_SQ_FOOT,NOV_SALES_PER_SQ_FOOT,DEC_SALES_PER_SQ_FOOT,JAN_NET,FEB_NET,MAR_NET,APR_NET,MAY_NET,JUN_NET,JUL_NET,AUG_NET,SEP_NET,OCT_NET,NOV_NET,DEC_NET
Agricultural measur,159446,Bethel,Bronx County,NY,United States,"GREAT EASTERN,UPS",1998,21514541701.44,20417933924.46,21633812383.81,21660751689.83,22408050794.20,21568617012.51,22379626884.30,49382341673.40,49135275598.44,50995373366.92,72794613304.34,77431211934.24,134933.09146319,128055.47912434,135681.12328819,135850.07895984,140536.92657201,135272.23644689,140358.65988673,309712.01330482,308162.48509489,319828.48968880,456547.12758138,485626.55654103,57281347742.81,52777091840.06,56479617777.71,56527920961.10,58389111792.37,56190290342.09,58097123378.85,129444581594.68,128491510904.86,133010048746.33,191748246101.92,201236317483.03
Bad cards must make.,621234,Oakland,Gage County,NE,United States,"GREAT EASTERN,UPS",1998,21556467850.12,20109613468.11,21816903564.31,21803919630.87,22424270660.40,21576836579.66,22135648571.65,49227155064.37,49316202795.86,50843797891.18,73299659482.72,77124830570.43,34699.43346648,32370.43282903,35118.65668059,35097.75645066,36096.33513362,34732.22099830,35631.74032917,79240.92220382,79384.26228419,81843.23119981,117990.41823647,124147.79385937,57538071888.09,52671963210.03,56464693088.44,56629764508.84,58392099069.68,56583563005.17,58054084828.34,129497619192.59,128789669164.28,132535343040.13,191907989818.48,201131183527.03
Conventional childr,977787,Shiloh,Franklin Parish,LA,United States,"GREAT EASTERN,UPS",1998,21608387263.95,20337644738.64,21532110696.80,21673581349.55,22402432654.98,21591665699.67,22437444795.89,49286552283.80,48885269507.91,50917923313.21,73063864775.23,76934202909.19,22099.27853812,20799.66775856,22021.26914840,22165.95367862,22911.36275588,22082.17709958,22947.17028953,50406.22577699,49995.82680882,52074.65768435,74723.70237611,78681.96540677,57785391225.33,52796498047.03,56000627397.33,56407671805.32,58144453115.36,56343643153.96,58220929146.39,129758875153.55,128329186852.67,132677580287.62,191421848018.05,200617640726.73
Doors canno,294242,Cedar Grove,Raleigh County,WV,United States,"GREAT EASTERN,UPS",1998,21590332078.81,20079604952.74,21593208888.35,21834689188.32,22411058637.76,21551526192.82,22329157526.70,48998958113.02,49056530154.72,51093138659.04,73079104538.33,76948837106.07,73376.10565049,68241.80420450,73385.88266920,74206.56870304,76165.39663869,73244.22139878,75887.05054581,166526.05037017,166721.71258597,173643.25507249,248363.94715346,261515.47741678,57447570947.45,52368463124.64,56506925777.83,56714252517.83,58567948125.06,56085509422.99,58071820862.78,129571485196.44,127878667570.06,132955785840.28,191957717845.26,200322960411.52
"Empty, middle women ",198212,Cedar Grove,Daviess County,MO,United States,"GREAT EASTERN,UPS",1998,21718422286.76,20004751508.44,21497665106.82,21807782031.48,22331365262.07,21573468471.92,22232592650.83,49046330416.58,49209584457.21,51034817392.36,72985321477.00,76929148729.93,109571.68227332,100926.03630678,108457.93951335,110022.51140940,112664.04285346,108840.37531491,112165.72483417,247443.79965179,248267.43313831,257475.92170181,368218.48060158,388115.49618555,57929437725.91,52425382172.52,56237035267.19,56572891759.25,58341398735.50,56319279420.98,58178015479.38,129226511077.04,128280886066.21,132704628441.03,191523147292.27,201098595007.13
"Friendly, suitable ",863277,Lakeview,Ziebach County,SD,United States,"GREAT EASTERN,UPS",1998,21711991226.94,20161998071.98,21726874994.18,21473229900.64,22513948202.10,21435603974.39,22471252764.54,49118233958.67,49239154442.07,51037875253.50,72953865745.77,77391456517.37,25150.66569241,23355.18966911,25167.90670223,24874.09012477,26079.63400172,24830.50512685,26030.17659979,56897.41989960,57037.49137539,59121.08773140,84508.06142845,89648.46337545,57706155275.09,52402601212.05,56609764390.70,56312891718.38,58224532410.19,56192835686.51,58390321830.42,129585487667.74,128453457218.31,132827875539.24,191363412677.98,201560275650.58
Governments should,621938,Liberty,Mesa County,CO,United States,"GREAT EASTERN,UPS",1998,21695646711.45,19965942657.79,21669164056.68,21714184802.02,22189602325.30,21906889789.23,22421301399.93,49187024861.49,49143192017.32,50703493722.70,72795139657.59,77370239345.02,34883.93812800,32102.78622272,34841.35726821,34913.74510324,35678.15815290,35223.59108019,36050.70183834,79086.70134562,79016.22350993,81524.99722272,117045.65351786,124401.85250784,57738562515.62,52338944256.37,56455902885.69,56796080976.91,58260216919.84,56628129114.49,58330018014.26,129446907376.59,128340124293.74,132669016179.53,191567480325.98,201168408571.22
Important dem,185634,Pleasant Hill,Jackson County,NC,United States,"GREAT EASTERN,UPS",1998,21577271212.86,20297246704.46,21600192075.15,21676408596.24,22159546164.37,21754708490.49,22483013326.11,49131558298.30,49308348237.57,51055226250.27,73147332104.82,77226986585.59,116235.55605578,109340.13545180,116359.02946201,116769.60360839,119372.23872981,117191.40076974,121114.73828129,264668.96311182,265621.32065015,275031.65503232,394040.59657616,416017.46762764,57838857169.14,52640124016.85,56357168576.69,56388526262.40,58148876237.81,56662400776.61,58110798577.00,129697718104.93,128511317417.10,132957104322.79,191763255035.89,201469515286.00
Important issues liv,138504,Greenwood,Ziebach County,SD,United States,"GREAT EASTERN,UPS",1998,21688100535.12,20268498764.99,21716947762.22,21566409333.59,22276265024.93,21675008599.53,22369310281.25,49151581057.40,49601224844.86,50859145538.22,72956905029.36,77171554296.71,156588.26124242,146338.72498260,156796.53845535,155709.64978333,160834.81361499,156493.73736159,161506.60111802,354874.81269422,358121.24447568,367203.44205380,526749.44427135,557179.24606300,57793146942.66,52747230627.76,56337913368.99,56354168457.07,58010004426.62,56201308779.39,58335963071.56,129174981561.07,128729711016.13,132422222166.54,191600700046.00,200938970479.47
"Local, mass universi",838797,Cedar Grove,Raleigh County,WV,United States,"GREAT EASTERN,UPS",1998,21367396794.39,20101898368.49,21869550157.52,21693171132.39,22404749102.07,21788196802.29,22492384184.68,49205479894.37,49585391372.15,50887991000.44,73099789085.63,76899009225.92,25473.85934187,23965.15291363,26072.51832985,25862.24215440,26710.57371696,25975.53019656,26815.05082240,58661.96456874,59114.88878972,60667.82666180,87148.36734708,91677.73516825,57462149923.36,52772253428.68,56508532835.35,56455053828.86,58245779210.83,56510775105.12,58483589340.52,129490718274.17,129097912579.47,132968184763.22,191499980527.00,201514137800.99
