CA_ZIP,SUM(CS_SALES_PRICE)
30001,413177.32
30008,376659.45
30026,445534.21
30029,22861.62
30049,10383.19
30056,7968.11
30059,8467111.61
30068,20702.83
30069,9165690.49
30116,437511.79
30125,438302.05
30128,20574.27
30141,453429.34
30149,13816.93
30150,8720109.62
30156,8245.39
30162,8815843.15
30163,21485.95
30164,446297.10
30169,8587943.82
30191,8760623.00
30193,10215.53
30194,436727.63
30204,16506.93
30216,401432.42
30224,17248.45
30236,10543.71
30238,13603.16
30244,13711.29
30245,13975.76
30254,13167.30
30262,426578.29
30268,441914.11
30275,11923.61
30278,19047.24
30296,449679.88
30297,10807.90
30302,449589.14
30307,15768.82
30309,414272.70
30311,7028.89
30314,16910.56
30317,10550.76
30319,414261.91
30320,17395.26
30323,12848.71
30325,18437.33
30330,11317.46
30336,19017.98
30344,453225.80
30348,11264.04
30369,404428.93
30381,12757.60
30382,14992.96
30383,10302.91
30386,19224.99
30399,8564583.15
30407,19114.55
30408,422634.94
30411,9138481.20
30414,14716.44
30418,437962.10
30419,452635.65
30428,17090.86
30444,15101.92
30445,15626.39
30451,413264.68
30468,11440.88
30481,37442.15
30485,15757.58
30492,397880.61
30499,8665824.20
30514,20758.53
30519,445513.76
30522,8687.50
30525,407851.00
30526,12652.97
30534,8466078.73
30540,412071.54
30573,441349.24
30580,24129.50
30584,15555.60
30586,7365.16
30587,8634579.55
30589,418848.15
30613,15307.95
30618,447765.52
30631,456820.15
30634,435913.67
30635,449006.28
30636,12338.36
30647,10189.04
30662,20584.82
30663,15219.42
30679,18467.20
30681,7546.36
30689,14242.52
30702,8381.08
30725,425771.78
30728,9380.35
