I_MANUFACT_ID,TOTAL_SALES
944,66946905.23
774,74067414.80
880,76384786.30
817,79176398.05
785,82085843.58
915,82636220.18
806,83073073.97
731,83260602.40
956,84095239.51
847,85132494.84
925,86219083.07
689,86786344.51
755,87021700.66
940,87372735.92
886,87737810.00
687,88278012.15
923,88793575.98
950,89248513.62
826,89885392.64
739,89974840.65
924,90421594.82
790,91277192.29
749,91937273.41
791,92157851.34
797,92370707.91
975,92411390.24
877,92498469.11
919,92564871.05
898,92882837.10
720,93011890.30
695,93241857.68
921,93301217.91
772,93423764.40
927,93685889.44
691,93970923.23
690,94207576.85
810,94211500.26
735,94257863.83
935,94666823.34
998,94676937.27
909,94705675.15
928,95426571.85
888,95469963.57
715,96018683.01
983,96219085.90
789,96321505.74
778,96327487.76
875,96374736.82
901,96540224.68
865,96562829.01
710,96736564.46
943,96923177.33
796,97543932.74
769,97601780.45
967,97654265.28
805,97694625.93
744,98432782.60
951,98589417.27
820,98654563.83
685,98855785.16
686,98970256.87
891,98991055.43
969,99018184.15
770,99060772.82
705,99259138.36
870,99595456.45
837,99721153.48
714,99805899.77
728,99874172.32
957,100354882.29
812,100415925.08
963,100635172.21
732,100688239.33
894,100695288.93
803,100956693.75
765,100976556.18
948,101148433.84
786,101171589.91
992,101225323.78
712,101431034.34
750,101836913.02
697,101847918.51
745,101978375.83
815,102053266.18
971,102179788.49
892,102647553.72
910,103094314.76
933,103244930.56
982,103510088.63
792,103780328.50
716,104024245.79
741,104025367.68
968,104169121.91
816,104209964.93
672,104318233.77
942,104434389.10
995,104540094.37
763,104566205.96
905,104584575.22
682,104648401.07
