S_STORE_NAME,S_COMPANY_ID,S_STREET_NUMBER,S_STREET_NAME,S_STREET_TYPE,S_SUITE_NUMBER,S_CITY,S_COUNTY,S_STATE,S_ZIP,30 days,31-60 days,61-90 days,91-120 days,>120 days
able,1,113,South ,Parkway,Suite 200,Pine Hill,Contra Costa County,CA,99236,8986,7174,4270,4111,8536
able,1,115,Hickory ,Circle,Suite N,Clifton,Mobile County,AL,38014,8575,6618,4357,4597,8655
able,1,128,15th ,RD,Suite T,Winchester,Nuckolls County,NE,63252,8453,6624,4388,4118,8532
able,1,128,Church East,ST,Suite U,Oak Hill,Contra Costa County,CA,97838,8650,6699,4248,4126,8564
able,1,140,6th ,Avenue,Suite 120,Buffalo,Quay County,NM,87098,8982,6655,4090,4331,8140
able,1,148,River 2nd,Road,Suite 10,Pine Hill,Lea County,NM,89236,8791,6457,4440,4179,8565
able,1,17,Main ,Ct.,Suite K,Woodland,Baltimore County,MD,24854,9202,6593,4488,4159,8598
able,1,170,Mill ,Circle,Suite J,Cross Roads,Klamath County,OR,96894,8673,6572,4341,4359,8513
able,1,184,Main Elm,Ct.,Suite 90,Clinton,Richland County,OH,48222,8432,6690,4716,4419,8357
able,1,193,5th ,Ave,Suite 420,Winchester,Quay County,NM,83252,8826,6736,4069,4102,8556
able,1,194,Williams 6th,Way,Suite D,Needmore,Essex County,VT,09720,8304,7100,4190,4162,8191
able,1,197,Central Second,Cir.,Suite H,Farmington,Barrow County,GA,39145,9049,6663,4142,4221,8332
able,1,20,Main ,Boulevard,Suite 140,Highland Park,Dauphin County,PA,16534,8602,6610,4378,4186,8707
able,1,206,Main ,Pkwy,Suite I,Antioch,Salem County,NJ,09205,8496,6512,4317,4331,8541
able,1,227,8th ,Road,Suite 290,Hollywood,Salem County,NJ,08601,8770,6606,4260,4242,8884
able,1,228,Cherry ,Avenue,Suite G,Mill Creek,Camden County,GA,37395,8489,6945,4154,4356,8614
able,1,244,Maple Lakeview,Way,Suite 430,Smyrna,Carter County,OK,78119,8654,6763,4150,4272,8353
able,1,253,Pine Central,ST,Suite O,Needmore,Lunenburg County,VA,29120,8843,6927,4345,4071,8403
able,1,255,Sycamore ,Dr.,Suite 410,Corinth,Quay County,NM,87022,8519,6507,4108,3998,8798
able,1,259,11th Railroad,Street,Suite 160,Highland,Red River Parish,LA,79454,8390,6807,4287,4268,8685
able,1,292,Walnut North,Circle,Suite Q,Lebanon,Abbeville County,SC,22898,8525,6728,4094,4476,8249
able,1,293,7th Hill,Ave,Suite W,Unionville,Van Buren County,MI,41711,8795,6804,4224,3986,8428
able,1,300,Forest ,Lane,Suite 230,Springdale,Cocke County,TN,38883,8741,6591,3989,4275,8393
able,1,302,Walnut Madison,Wy,Suite T,Hillsdale,Sumner County,TN,33054,8847,6682,4601,4173,8697
able,1,31,1st ,RD,Suite 270,White Oak,Daviess County,MO,66668,8967,6733,4135,4027,8490
able,1,322,View ,Avenue,Suite 20,Deerfield,Coal County,OK,79840,9190,6982,4269,4306,8448
able,1,325,Walnut ,Circle,Suite D,Plainview,Jackson County,NC,23683,8678,6406,4397,4247,8644
able,1,329,Laurel West,Lane,Suite N,Milltown,Nuckolls County,NE,67534,8765,6717,4237,4160,8479
able,1,340,15th ,Drive,Suite Q,Bridgeport,Marshall County,IN,45817,8825,6750,4109,4017,8122
able,1,372,Valley Center,Lane,Suite Q,Monroe,Harmon County,OK,73984,8759,6717,4227,4193,8657
able,1,394,Main ,Road,Suite 160,Cedar Grove,Saginaw County,MI,40411,8715,6854,4579,4145,8602
able,1,400,Locust ,Lane,Suite B,Clinton,Montgomery County,KS,68222,8860,6550,4119,4204,8785
able,1,403,Poplar Wilson,Avenue,Suite N,Lincoln,Appanoose County,IA,51289,8831,6548,4102,4572,8663
able,1,407,Willow West,Ave,Suite Q,Independence,Nuckolls County,NE,68988,8957,6749,4598,4127,8953
able,1,427,Willow 10th,Cir.,Suite 440,Winchester,Richland County,OH,43252,8737,6967,4192,4461,8368
able,1,441,11th ,ST,Suite H,Dayton,Marshall County,IN,42633,8770,6565,4190,4367,8425
able,1,443,Hickory Sycamore,Street,Suite C,Unionville,Miller County,GA,31711,8567,6380,4104,4054,8389
able,1,452,Mill ,Lane,Suite X,Williamsburg,Dauphin County,PA,18336,8955,7103,4076,4140,8452
