D_YEAR,BRAND_ID,BRAND,EXT_PRICE
2002,3002002,importoexporti #2,546278075.18
2002,1004002,edu packamalg #2,474859056.97
2002,1001002,amalgamalg #2,470548214.55
2002,2001002,amalgimporto #2,462146195.64
2002,2003002,exportiimporto #2,444106437.27
2002,4004002,edu packedu pack #2,434244485.85
2002,3001002,amalgexporti #2,427848531.11
2002,3003002,exportiexporti #2,425378200.00
2002,5003002,exportischolar #2,416910681.71
2002,2004002,edu packimporto #2,412626342.72
2002,5001002,amalgscholar #2,397308381.39
2002,3004002,edu packexporti #2,388900140.04
2002,1002002,importoamalg #2,378239975.15
2002,1003002,exportiamalg #2,378144422.04
2002,4003002,exportiedu pack #2,356670514.48
2002,4002002,importoedu pack #2,356183236.65
2002,4001002,amalgedu pack #2,347986507.04
2002,5002002,importoscholar #2,343323404.65
2002,2002002,importoimporto #2,261369410.96
2002,5004002,edu packscholar #2,258695836.01
2002,1002001,importoamalg #1,225171835.02
2002,1004001,edu packamalg #1,184813468.61
2002,3001001,amalgexporti #1,179772998.63
2002,2004001,edu packimporto #1,175694190.60
2002,3003001,exportiexporti #1,170979372.09
2002,2003001,exportiimporto #1,164656253.14
2002,1003001,exportiamalg #1,163787147.53
2002,4002001,importoedu pack #1,157839439.90
2002,4003001,exportiedu pack #1,144550629.46
2002,5004001,edu packscholar #1,140224436.25
2002,2002001,importoimporto #1,131407670.32
2002,5002001,importoscholar #1,128495060.83
2002,5003001,exportischolar #1,127655925.76
2002,4004001,edu packedu pack #1,121305174.23
2002,3004001,edu packexporti #1,121194253.98
2002,5001001,amalgscholar #1,121151965.70
2002,3002001,importoexporti #1,120446702.66
2002,2001001,amalgimporto #1,114819403.42
2002,4001001,amalgedu pack #1,111431000.11
2002,1001001,amalgamalg #1,76392092.56
2002,9007008,brandmaxi #8,67078330.22
2002,9009002,maximaxi #2,61831033.86
2002,9014008,edu packunivamalg #8,61796335.65
2002,7006006,corpbrand #6,60406295.40
2002,9007002,brandmaxi #2,60296487.92
2002,9004008,edu packmaxi #8,60161557.72
2002,9002002,importomaxi #2,59543073.71
2002,7010008,univnameless #8,53359131.92
2002,9009004,maximaxi #4,52891082.30
2002,6014002,edu packbrand #2,52321805.99
2002,7007004,brandbrand #4,52246230.90
2002,6002006,importocorp #6,51957977.36
2002,7013002,exportinameless #2,51282319.40
2002,9015002,scholarunivamalg #2,50774479.81
2002,8009010,maxinameless #10,50677060.60
2002,9001001,amalgmaxi #1,50676456.91
2002,9003008,exportimaxi #8,50490552.63
2002,8007010,brandnameless #10,50477153.37
2002,9011008,amalgunivamalg #8,50005533.86
2002,6012002,importobrand #2,45440726.44
2002,8003010,exportinameless #10,44437662.57
2002,9008002,namelessmaxi #2,44174679.63
2002,6008002,namelesscorp #2,44005150.59
2002,7010010,univnameless #10,43839875.38
2002,7004004,edu packbrand #4,43623688.10
2002,9010002,univunivamalg #2,43605836.75
2002,8004005,edu packnameless #5,43328116.43
2002,9016001,corpunivamalg #1,43183693.10
2002,6015008,scholarbrand #8,42956260.73
2002,9008008,namelessmaxi #8,42616616.74
2002,6004002,edu packcorp #2,42475143.28
2002,8016006,corpmaxi #6,42415978.38
2002,7015002,scholarnameless #2,42241109.35
2002,6004004,edu packcorp #4,42073322.63
2002,6010004,univbrand #4,42071284.86
2002,7002010,importobrand #10,41652178.18
2002,6011004,amalgbrand #4,35870832.04
2002,6013002,exportibrand #2,35830420.43
2002,10001014,amalgunivamalg #14,35787072.09
2002,7007010,brandbrand #10,35724003.10
2002,9011002,amalgunivamalg #2,35582438.61
2002,6013006,exportibrand #6,35520169.79
2002,9001008,amalgmaxi #8,35516199.29
2002,7010004,univnameless #4,35290179.01
2002,6003008,exporticorp #8,35269838.73
2002,6012005,importobrand #5,34959941.34
2002,6006004,corpcorp #4,34946107.00
2002,7011008,amalgnameless #8,34924905.51
2002,8007002,brandnameless #2,34816478.86
2002,9013002,exportiunivamalg #2,34803904.31
2002,8006010,corpnameless #10,34652364.53
2002,7009010,maxibrand #10,34632487.34
2002,6005006,scholarcorp #6,34590904.91
2002,6001004,amalgcorp #4,34583275.68
2002,10015017,scholaramalgamalg #17,34534328.11
2002,6005004,scholarcorp #4,34479167.35
2002,9002008,importomaxi #8,34426061.35
2002,8010008,univmaxi #8,34384111.78
2002,6003004,exporticorp #4,34369631.54
2002,9013008,exportiunivamalg #8,34331651.94
