I_MANUFACT_ID,SUM_SALES,AVG_QUARTERLY_SALES
980,130533.17,240609.05250
980,145430.56,240609.05250
980,426586.64,240609.05250
719,144903.31,241416.19750
719,150881.73,241416.19750
719,424617.35,241416.19750
817,144641.64,242126.59250
817,150355.84,242126.59250
817,416145.46,242126.59250
765,144007.34,242455.99000
765,145574.28,242455.99000
765,426676.51,242455.99000
924,141876.41,244610.57500
924,145961.69,244610.57500
924,424115.17,244610.57500
707,144031.06,245588.80750
707,146311.93,245588.80750
707,427875.02,245588.80750
806,141499.20,246651.36250
806,154870.58,246651.36250
806,421497.65,246651.36250
732,142623.67,246810.34000
732,143632.52,246810.34000
732,439913.11,246810.34000
897,143344.00,246992.24250
897,155577.00,246992.24250
897,429571.76,246992.24250
699,142486.64,247840.63000
699,151352.75,247840.63000
699,445097.55,247840.63000
838,142945.44,247978.17750
838,158348.24,247978.17750
838,423810.28,247978.17750
902,139163.34,249443.99500
902,148133.97,249443.99500
902,285127.15,249443.99500
902,425351.52,249443.99500
727,134940.36,249747.43250
727,158401.80,249747.43250
727,437627.55,249747.43250
865,147436.92,250593.83000
865,153588.01,250593.83000
865,435436.50,250593.83000
769,138710.71,250634.37500
769,158249.04,250634.37500
769,435699.63,250634.37500
948,146214.55,251644.09500
948,159234.58,251644.09500
948,431041.84,251644.09500
692,148183.40,253317.80500
692,156866.63,253317.80500
692,442806.05,253317.80500
846,151251.42,254205.25750
846,163808.06,254205.25750
846,448100.95,254205.25750
813,141080.14,254424.66250
813,148770.95,254424.66250
813,456614.76,254424.66250
960,149858.54,259687.50750
960,157462.24,259687.50750
960,285840.75,259687.50750
960,445588.50,259687.50750
895,278401.58,487384.24500
895,297423.76,487384.24500
895,854578.77,487384.24500
874,283122.02,489525.60750
874,286673.13,489525.60750
874,872134.25,489525.60750
744,287060.84,489702.45750
744,296966.78,489702.45750
744,858768.75,489702.45750
894,280073.81,490885.95000
894,294406.98,490885.95000
894,866250.57,490885.95000
710,293583.36,492602.98500
710,301278.63,492602.98500
710,848978.70,492602.98500
782,291713.83,493388.18000
782,293593.93,493388.18000
782,866367.48,493388.18000
999,276991.41,493586.96000
999,307236.13,493586.96000
999,864546.85,493586.96000
922,293381.96,494565.61750
922,302622.00,494565.61750
922,863633.68,494565.61750
778,287749.06,494608.39750
778,292407.91,494608.39750
778,547456.31,494608.39750
778,850820.31,494608.39750
836,283537.54,495110.08250
836,308243.08,495110.08250
836,853808.99,495110.08250
886,279790.06,495174.17250
886,312729.68,495174.17250
886,870387.55,495174.17250
970,290035.40,495417.70500
970,305992.62,495417.70500
970,860748.25,495417.70500
975,297404.27,495948.11250
